race_num,track,season,Pos.,Points,Num,Rider,Nation,Team,Bike,kph,Time_Gap,laps_before_out
1,losail,2013,1,25,99,Jorge LORENZO,SPA,Yamaha Factory Racing,Yamaha,166.4,42'39.802,0
1,losail,2013,2,20,46,Valentino ROSSI,ITA,Yamaha Factory Racing,Yamaha,166,5.99,0
1,losail,2013,3,16,93,Marc MARQUEZ,SPA,Repsol Honda Team,Honda,166,6.201,0
1,losail,2013,4,13,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,165.8,9.473,0
1,losail,2013,5,11,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,Yamaha,165.2,18.764,0
1,losail,2013,6,10,19,Alvaro BAUTISTA,SPA,GO&FUN Honda Gresini,Honda,165,22.148,0
1,losail,2013,7,9,4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati,164.8,24.355,0
1,losail,2013,8,8,69,Nicky HAYDEN,USA,Ducati Team,Ducati,164.8,24.92,0
1,losail,2013,9,7,29,Andrea IANNONE,ITA,Energy T.I. Pramac Racing,Ducati,164,37.124,0
1,losail,2013,10,6,11,Ben SPIES,USA,Ignite Pramac Racing,Ducati,163.5,44.908,0
1,losail,2013,11,5,41,Aleix ESPARGARO,SPA,Power Electronics Aspar,ART,163.2,49.809,0
1,losail,2013,12,4,14,Randy DE PUNIET,FRA,Power Electronics Aspar,ART,162.8,56.495,0
1,losail,2013,13,3,8,Hector BARBERA,SPA,Avintia Blusens,FTR,162,+1'09.599,0
1,losail,2013,14,2,68,Yonny HERNANDEZ,COL,Paul Bird Motorsport,ART,161.9,+1'10.742,0
1,losail,2013,15,1,7,Hiroshi AOYAMA,JPN,Avintia Blusens,FTR,161.8,+1'13.600,0
1,losail,2013,16,0,71,Claudio CORTI,ITA,NGM Mobile Forward Racing,FTR Kawasaki,160.8,+1'29.444,0
1,losail,2013,17,0,70,Michael LAVERTY,GBR,Paul Bird Motorsport,PBM,160.5,+1'34.341,0
1,losail,2013,18,0,52,Lukas PESEK,CZE,Came IodaRacing Project,Ioda-Suter,160.5,+1'34.683,0
1,losail,2013,19,0,5,Colin EDWARDS,USA,NGM Mobile Forward Racing,FTR Kawasaki,161.9,7 Laps,7
1,losail,2013,20,0,9,Danilo PETRUCCI,ITA,Came IodaRacing Project,Ioda-Suter,160.5,10 Laps,10
1,losail,2013,21,0,6,Stefan BRADL,GER,LCR Honda MotoGP,Honda,164.8,14 Laps,14
1,losail,2013,22,0,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,Yamaha,162.4,18 Laps,18
1,losail,2013,23,0,67,Bryan STARING,AUS,GO&FUN Honda Gresini,FTR Honda,149.2,21 Laps,21
1,losail,2013,24,0,17,Karel ABRAHAM,CZE,Cardion AB Motoracing,ART,0,0 Lap,0
2,cota,2013,1,25,93,Marc MARQUEZ,SPA,Repsol Honda Team,Honda,158.9,43'42.123,0
2,cota,2013,2,20,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,158.8,1.534,0
2,cota,2013,3,16,99,Jorge LORENZO,SPA,Yamaha Factory Racing,Yamaha,158.7,3.381,0
2,cota,2013,4,13,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,Yamaha,158.5,6.616,0
2,cota,2013,5,11,6,Stefan BRADL,GER,LCR Honda MotoGP,Honda,158.1,12.674,0
2,cota,2013,6,10,46,Valentino ROSSI,ITA,Yamaha Factory Racing,Yamaha,157.9,16.615,0
2,cota,2013,7,9,4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati,157.6,22.374,0
2,cota,2013,8,8,19,Alvaro BAUTISTA,SPA,GO&FUN Honda Gresini,Honda,157.5,22.854,0
2,cota,2013,9,7,69,Nicky HAYDEN,USA,Ducati Team,Ducati,156.9,33.773,0
2,cota,2013,10,6,29,Andrea IANNONE,ITA,Energy T.I. Pramac Racing,Ducati,156.4,42.112,0
2,cota,2013,11,5,41,Aleix ESPARGARO,SPA,Power Electronics Aspar,ART,156,48.837,0
2,cota,2013,12,4,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,Yamaha,155.9,50.705,0
2,cota,2013,13,3,11,Ben SPIES,USA,Ignite Pramac Racing,Ducati,154.5,+1'14.132,0
2,cota,2013,14,2,14,Randy DE PUNIET,FRA,Power Electronics Aspar,ART,154.4,+1'15.651,0
2,cota,2013,15,1,68,Yonny HERNANDEZ,COL,Paul Bird Motorsport,ART,154.2,+1'19.591,0
2,cota,2013,16,0,70,Michael LAVERTY,GBR,Paul Bird Motorsport,PBM,153.4,+1'34.391,0
2,cota,2013,17,0,7,Hiroshi AOYAMA,JPN,Avintia Blusens,FTR,153.1,+1'39.823,0
2,cota,2013,18,0,8,Hector BARBERA,SPA,Avintia Blusens,FTR,153.1,+1'39.952,0
2,cota,2013,19,0,71,Claudio CORTI,ITA,NGM Mobile Forward Racing,FTR Kawasaki,152.7,+1'46.773,0
2,cota,2013,20,0,67,Bryan STARING,AUS,GO&FUN Honda Gresini,FTR Honda,152.6,+1'48.084,0
2,cota,2013,21,0,79,Blake YOUNG,USA,Attack Performance Racing,APR,151.1,1 Lap,1
2,cota,2013,22,0,9,Danilo PETRUCCI,ITA,Came IodaRacing Project,Ioda-Suter,152.4,8 Laps,8
2,cota,2013,23,0,52,Lukas PESEK,CZE,Came IodaRacing Project,Ioda-Suter,152.4,8 Laps,8
2,cota,2013,24,0,5,Colin EDWARDS,USA,NGM Mobile Forward Racing,FTR Kawasaki,149.7,10 Laps,10
3,jerez,2013,1,25,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,158.1,45'17.632,0
3,jerez,2013,2,20,93,Marc MARQUEZ,SPA,Repsol Honda Team,Honda,158,2.487,0
3,jerez,2013,3,16,99,Jorge LORENZO,SPA,Yamaha Factory Racing,Yamaha,157.8,5.089,0
3,jerez,2013,4,13,46,Valentino ROSSI,ITA,Yamaha Factory Racing,Yamaha,157.6,8.914,0
3,jerez,2013,5,11,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,Yamaha,157.4,12.663,0
3,jerez,2013,6,10,19,Alvaro BAUTISTA,SPA,GO&FUN Honda Gresini,Honda,157.3,15.094,0
3,jerez,2013,7,9,69,Nicky HAYDEN,USA,Ducati Team,Ducati,156.7,25.632,0
3,jerez,2013,8,8,4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati,155.7,41.881,0
3,jerez,2013,9,7,41,Aleix ESPARGARO,SPA,Power Electronics Aspar,ART,155.6,43.812,0
3,jerez,2013,10,6,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,Yamaha,155.6,44.461,0
3,jerez,2013,11,5,51,Michele PIRRO,ITA,Ducati Test Team,Ducati,155.5,45.974,0
3,jerez,2013,12,4,8,Hector BARBERA,SPA,Avintia Blusens,FTR,154.7,59.859,0
3,jerez,2013,13,3,70,Michael LAVERTY,GBR,Paul Bird Motorsport,PBM,154.2,+1'09.743,0
3,jerez,2013,14,2,9,Danilo PETRUCCI,ITA,Came IodaRacing Project,Ioda-Suter,153.7,+1'17.813,0
3,jerez,2013,15,1,5,Colin EDWARDS,USA,NGM Mobile Forward Racing,FTR Kawasaki,153.7,+1'18.177,0
3,jerez,2013,16,0,67,Bryan STARING,AUS,GO&FUN Honda Gresini,FTR Honda,153.7,+1'18.928,0
3,jerez,2013,17,0,71,Claudio CORTI,ITA,NGM Mobile Forward Racing,FTR Kawasaki,153.7,+1'19.307,0
3,jerez,2013,18,0,7,Hiroshi AOYAMA,JPN,Avintia Blusens,FTR,153.7,+1'19.457,0
3,jerez,2013,19,0,6,Stefan BRADL,GER,LCR Honda MotoGP,Honda,155.1,24 Laps,24
3,jerez,2013,20,0,29,Andrea IANNONE,ITA,Energy T.I. Pramac Racing,Ducati,154.3,24 Laps,24
3,jerez,2013,21,0,52,Lukas PESEK,CZE,Came IodaRacing Project,Ioda-Suter,150.8,24 Laps,24
3,jerez,2013,22,0,14,Randy DE PUNIET,FRA,Power Electronics Aspar,ART,151.2,25 Laps,25
3,jerez,2013,23,0,68,Yonny HERNANDEZ,COL,Paul Bird Motorsport,ART,148.9,25 Laps,25
4,lemans,2013,1,25,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,142.6,49'17.707,0
4,lemans,2013,2,20,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,Yamaha,142.3,4.863,0
4,lemans,2013,3,16,93,Marc MARQUEZ,SPA,Repsol Honda Team,Honda,142.2,6.949,0
4,lemans,2013,4,13,4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati,142.1,10.087,0
4,lemans,2013,5,11,69,Nicky HAYDEN,USA,Ducati Team,Ducati,141.7,18.471,0
4,lemans,2013,6,10,19,Alvaro BAUTISTA,SPA,GO&FUN Honda Gresini,Honda,141.4,23.561,0
4,lemans,2013,7,9,99,Jorge LORENZO,SPA,Yamaha Factory Racing,Yamaha,141.2,27.961,0
4,lemans,2013,8,8,51,Michele PIRRO,ITA,Ignite Pramac Racing,Ducati,140.6,40.775,0
4,lemans,2013,9,7,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,Yamaha,140.6,41.407,0
4,lemans,2013,10,6,6,Stefan BRADL,GER,LCR Honda MotoGP,Honda,139.7,+1'00.995,0
4,lemans,2013,11,5,29,Andrea IANNONE,ITA,Energy T.I. Pramac Racing,Ducati,139.5,+1'05.110,0
4,lemans,2013,12,4,46,Valentino ROSSI,ITA,Yamaha Factory Racing,Yamaha,139,+1'16.368,0
4,lemans,2013,13,3,41,Aleix ESPARGARO,SPA,Power Electronics Aspar,ART,138.6,+1'24.200,0
4,lemans,2013,14,2,9,Danilo PETRUCCI,ITA,Came IodaRacing Project,Ioda-Suter,138.6,+1'25.726,0
4,lemans,2013,15,1,17,Karel ABRAHAM,CZE,Cardion AB Motoracing,ART,138.3,+1'32.111,0
4,lemans,2013,16,0,5,Colin EDWARDS,USA,NGM Mobile Forward Racing,FTR Kawasaki,137.9,+1'40.602,0
4,lemans,2013,17,0,70,Michael LAVERTY,GBR,Paul Bird Motorsport,PBM,136.9,1 Lap,1
4,lemans,2013,18,0,8,Hector BARBERA,SPA,Avintia Blusens,FTR,136,1 Lap,1
4,lemans,2013,19,0,7,Hiroshi AOYAMA,JPN,Avintia Blusens,FTR,136,1 Lap,1
4,lemans,2013,20,0,68,Yonny HERNANDEZ,COL,Paul Bird Motorsport,ART,136.5,8 Laps,8
4,lemans,2013,21,0,14,Randy DE PUNIET,FRA,Power Electronics Aspar,ART,137.7,13 Laps,13
4,lemans,2013,22,0,52,Lukas PESEK,CZE,Came IodaRacing Project,Ioda-Suter,133.2,13 Laps,13
4,lemans,2013,23,0,71,Claudio CORTI,ITA,NGM Mobile Forward Racing,FTR Kawasaki,132.4,21 Laps,21
4,lemans,2013,24,0,67,Bryan STARING,AUS,GO&FUN Honda Gresini,FTR Honda,121.4,27 Laps,27
5,mugello,2013,1,25,99,Jorge LORENZO,SPA,Yamaha Factory Racing,Yamaha,173.7,41'39.733,0
5,mugello,2013,2,20,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,173.3,5.4,0
5,mugello,2013,3,16,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,Yamaha,173.2,6.412,0
5,mugello,2013,4,13,6,Stefan BRADL,GER,LCR Honda MotoGP,Honda,172.4,19.321,0
5,mugello,2013,5,11,4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati,172.3,19.54,0
5,mugello,2013,6,10,69,Nicky HAYDEN,USA,Ducati Team,Ducati,171.9,26.321,0
5,mugello,2013,7,9,51,Michele PIRRO,ITA,Ducati Test Team,Ducati,171.1,38.144,0
5,mugello,2013,8,8,41,Aleix ESPARGARO,SPA,Power Electronics Aspar,ART,171,39.802,0
5,mugello,2013,9,7,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,Yamaha,170.9,40.243,0
5,mugello,2013,10,6,8,Hector BARBERA,SPA,Avintia Blusens,FTR,170.4,48.392,0
5,mugello,2013,11,5,14,Randy DE PUNIET,FRA,Power Electronics Aspar,ART,170.4,48.48,0
5,mugello,2013,12,4,9,Danilo PETRUCCI,ITA,Came IodaRacing Project,Ioda-Suter,168.7,+1'13.708,0
5,mugello,2013,13,3,29,Andrea IANNONE,ITA,Energy T.I. Pramac Racing,Ducati,168.6,+1'14.601,0
5,mugello,2013,14,2,5,Colin EDWARDS,USA,NGM Mobile Forward Racing,FTR Kawasaki,168.2,+1'21.249,0
5,mugello,2013,15,1,17,Karel ABRAHAM,CZE,Cardion AB Motoracing,ART,167.9,+1'25.738,0
5,mugello,2013,16,0,68,Yonny HERNANDEZ,COL,Paul Bird Motorsport,ART,167.8,+1'27.339,0
5,mugello,2013,17,0,70,Michael LAVERTY,GBR,Paul Bird Motorsport,PBM,167.8,+1'27.758,0
